label,text
PlayMusic,Play the song Blinding Lights by The Weeknd on Spotify
PlayMusic,I want to listen to Taylor Swift's new album on Apple Music
PlayMusic,Play the Chill Vibes playlist
PlayMusic,Can you play Hotel California by Eagles
PlayMusic,Play my workout playlist on YouTube Music
PlayMusic,Play some jazz music on Pandora
PlayMusic,I'd like to hear Lose Yourself by Eminem
PlayMusic,Play the track Shape of You by Ed Sheeran on Amazon Music
PlayMusic,Put on my morning playlist
PlayMusic,Play some pop hits
PlayMusic,Play Adele's latest single on Spotify
PlayMusic,I want to hear Rocket Man by Elton John
PlayMusic,Play the Top 40 playlist on Apple Music
PlayMusic,Play my evening chill playlist on Deezer
PlayMusic,Can you play Smells Like Teen Spirit by Nirvana
PlayMusic,Play some classical music
PlayMusic,Play my favorites playlist on Tidal
PlayMusic,I'd like to listen to Imagine by John Lennon
PlayMusic,Play the track Hotline Bling by Drake
PlayMusic,Put on some country music
PlayMusic,Play my driving playlist on YouTube Music
PlayMusic,Play some rock hits on Pandora
PlayMusic,I want to hear Billie Eilish on Spotify
PlayMusic,Play the song Thunderstruck by AC/DC
PlayMusic,Play my study playlist
PlayMusic,Can you play Halo by Beyoncé on Apple Music
PlayMusic,Play the Jazz Classics playlist
PlayMusic,Play some R&B music
PlayMusic,I'd like to hear Purple Rain by Prince
PlayMusic,Play the track Bad Guy by Billie Eilish
PlayMusic,Put on my relaxing playlist
PlayMusic,Play my party playlist on Amazon Music
PlayMusic,Play some indie music on Tidal
PlayMusic,I want to listen to Rolling in the Deep by Adele
PlayMusic,Play the song Uptown Funk by Mark Ronson
PlayMusic,Play my workout mix
PlayMusic,Can you play Yesterday by The Beatles
PlayMusic,Play the Chill Out playlist on Spotify
PlayMusic,Play some electronic music
PlayMusic,I'd like to hear All of Me by John Legend
PlayMusic,Play the track Happy by Pharrell Williams
PlayMusic,Put on my sleep playlist
PlayMusic,Play my hiking playlist on Deezer
PlayMusic,Play some blues music on Pandora
PlayMusic,I want to hear Someone Like You by Adele
PlayMusic,Play the song Shape of My Heart by Sting
PlayMusic,Play my gym playlist on Apple Music
PlayMusic,Can you play Bohemian Rhapsody by Queen
PlayMusic,Play the 90s Hits playlist
PlayMusic,Play some folk music
PlayMusic,I'd like to hear Thinking Out Loud by Ed Sheeran
PlayMusic,Play the track Sorry by Justin Bieber
PlayMusic,Put on my road trip playlist
PlayMusic,Play my reading playlist on YouTube Music
PlayMusic,Play some reggae music on Spotify
PlayMusic,I want to listen to Firework by Katy Perry
PlayMusic,Play the song Poker Face by Lady Gaga
PlayMusic,Play my cooking playlist
PlayMusic,Can you play Stairway to Heaven by Led Zeppelin
PlayMusic,Play the Classic Rock playlist on Tidal
PlayMusic,Play some hip hop music
PlayMusic,I'd like to hear Let It Be by The Beatles
PlayMusic,Play the track Closer by The Chainsmokers
PlayMusic,Put on my dinner playlist
PlayMusic,Play my travel playlist on Amazon Music
PlayMusic,Play some alternative music on Apple Music
PlayMusic,I want to hear Hello by Adele
PlayMusic,Play the song Wonderwall by Oasis
PlayMusic,Play my yoga playlist on Spotify
PlayMusic,Can you play Single Ladies by Beyoncé
PlayMusic,Play the Pop Hits playlist on Deezer
PlayMusic,Play some disco music
PlayMusic,I'd like to hear Smooth by Santana
PlayMusic,Play the track Counting Stars by OneRepublic
PlayMusic,Put on my meditation playlist
PlayMusic,Play my brunch playlist on Pandora
PlayMusic,Play some punk music on YouTube Music
PlayMusic,I want to listen to Royals by Lorde
PlayMusic,Play the song Can't Stop the Feeling by Justin Timberlake
PlayMusic,Play my chill playlist
PlayMusic,Can you play Hotel California on Spotify
PlayMusic,Play the Oldies but Goodies playlist
PlayMusic,Play some soul music
PlayMusic,I'd like to hear Perfect by Ed Sheeran
PlayMusic,Play the track Shake It Off by Taylor Swift
PlayMusic,Put on my happy playlist
PlayMusic,Play my workout jams on Tidal
PlayMusic,Play some grunge music on Apple Music
PlayMusic,I want to hear Titanium by David Guetta
PlayMusic,Play the song Bad Romance by Lady Gaga
PlayMusic,Play my road trip mix on Amazon Music
PlayMusic,Can you play Imagine by John Lennon on Spotify
PlayMusic,Play the Classic Hits playlist
PlayMusic,Play some metal music
PlayMusic,I'd like to hear Blinding Lights by The Weeknd
PlayMusic,Play the track Senorita by Shawn Mendes
PlayMusic,Put on my focus playlist
PlayMusic,Play my chill out playlist on Deezer
PlayMusic,Play some new wave music on Pandora
PlayMusic,I want to listen to Uptown Funk on YouTube Music
PlayMusic,Play the song Bohemian Rhapsody on Tidal
PlayMusic,Play my summer playlist
PlayMusic,Can you play Shake It Off by Taylor Swift
PlayMusic,Play the 80s Hits playlist on Spotify
PlayMusic,Play some hard rock music
PlayMusic,I'd like to hear Halo by Beyoncé
PlayMusic,Play the track Rolling in the Deep by Adele
PlayMusic,Put on my evening playlist
PlayMusic,Play my morning mix on Apple Music
PlayMusic,Play some EDM on Amazon Music
Greeting,hello
Greeting,hi there
Greeting,good morning
Greeting,good afternoon
Greeting,good evening
Greeting,hey
Greeting,what's up
Greeting,howdy
Greeting,hi
Greeting,greetings
Greeting,hey there
Greeting,hello there
Greeting,yo
Greeting,hiya
Greeting,hey hey
Greeting,hiya there
Greeting,morning
Greeting,afternoon
Greeting,evening
Greeting,hey buddy
Greeting,hi friend
Greeting,hello friend
Greeting,hi folks
Greeting,hey folks
Greeting,good day
Greeting,hey you
Greeting,hi stranger
Greeting,hello stranger
Greeting,hi team
Greeting,hi everyone
Greeting,hi guys
Greeting,hello guys
Greeting,hey folks
Greeting,hey team
Greeting,hi team
